         94600695 function calls (88079242 primitive calls) in 38.913 seconds

   Ordered by: cumulative time
   List reduced from 1047 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   289358    0.244    0.000    9.381    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:376(not_)
  2731472    4.087    0.000    8.643    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:339(evolve)
      264    0.001    0.000    7.125    0.027 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:90(contains)
173132/173130    0.688    0.000    5.537    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:337(anyOf)
  1057091    1.637    0.000    4.001    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:282(type)
   160313    0.100    0.000    3.261    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:459(_validate_reference)
   160313    0.269    0.000    3.161    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\referencing\_core.py:653(lookup)
  2731475    0.746    0.000    3.023    0.000 <attrs generated methods jsonschema.validators.create.<locals>.Validator>:26(__init__)
  1293140    1.621    0.000    2.651    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\exceptions.py:165(_set)
  2525359    0.655    0.000    2.550    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:452(is_type)
  2731475    2.016    0.000    2.278    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\validators.py:282(__attrs_post_init__)
  1926645    0.470    0.000    2.105    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\referencing\_core.py:700(in_subresource)
   160313    0.665    0.000    1.963    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\referencing\_core.py:254(pointer)
  2525359    1.213    0.000    1.895    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_types.py:94(is_type)
  2086961    0.974    0.000    1.849    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\referencing\_core.py:165(create_resource)
  1057083    0.277    0.000    1.829    0.000 {built-in method builtins.any}
  2114166    0.625    0.000    1.752    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\_keywords.py:285(<genexpr>)
  1926648    0.477    0.000    1.635    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\referencing\_core.py:227(id)
 17063942    1.606    0.000    1.606    0.000 {built-in method builtins.getattr}
   918865    1.556    0.000    1.556    0.000 S:\caliburn\.worktrees\analysis-only-agent\experiments\analysis-agent\.venv\Lib\site-packages\jsonschema\exceptions.py:55(__init__)


